segment,trial,tag,note,velocity,hold_s,onset_s
attack_by_velocity_strings,3,vel=96,60,96,2.500,682.4024
attack_by_velocity_strings,4,vel=127,60,127,2.500,686.8565
attack_by_velocity_brass,0,vel=16,60,16,2.500,694.8146
attack_by_velocity_brass,1,vel=40,60,40,2.500,699.2695
attack_by_velocity_brass,2,vel=64,60,64,2.500,703.7244
attack_by_velocity_brass,3,vel=96,60,96,2.500,708.1786
attack_by_velocity_brass,4,vel=127,60,127,2.500,712.6334
decay_hold,0,tone=piano,60,100,8.000,720.5905
decay_hold,1,tone=vib,60,100,8.000,731.7516
decay_hold,2,tone=bell,60,100,8.000,742.9127
decay_hold,3,tone=marimba,60,100,8.000,754.0740
decay_hold,4,tone=slap,60,100,8.000,765.2359
decay_hold,5,tone=fbass,60,100,8.000,776.3979
decay_hold,6,tone=choir,60,100,8.000,787.5589
decay_hold,7,tone=strings,60,100,8.000,798.7181
decay_hold,8,tone=organ,60,100,8.000,809.8798
decay_hold,9,tone=brass,60,100,8.000,821.0407
decay_hold,10,tone=flute,60,100,8.000,832.1946
decay_hold,11,tone=shaku,60,100,8.000,843.3556
